1000, -7904, 12472, 19, 19, 25, 6816, -1564, 20304, 6365, 2754, -18730, 4540, 1584, 15584, 5349, 2477, -20786, 3296, 1132, 15572, 6612, 680, -21895, 1996, 1324, 15112, 7495, -1733, -22181, 3824, 864, 14356, 7628, -2171, -23106, 4304, 480, 13748, 6239, -759, -26449, 4240, -328, 13696, 4714, 670, -30295, 1752, -964, 14336, 3873, 2123, -32512, -1540, -1660, 14700, 4630, 2251, -32512
-3960, -2736, 14212, 6507, -277, -30272, 8144, 220, 29828, 440, 4560, -10472, 8064, 3356, 17000, -288, 4148, -13575, 8664, 3032, 17080, 1339, 2771, -17482, 8848, 2868, 17268, 2890, 1758, -21876, 8084, 1968, 17400, 4473, 1298, -26118, 6596, 1248, 17140, 6175, 1001, -29629, 6624, 228, 16516, 7991, 1187, -32512, 5060, -1056, 16356, 9446, 1999, -32512, 2032, -2272, 16100, 11162, 1987, -32512
-1848, -4312, 16092, 13709, -1730, -32512, 3784, -136, 27540, 2712, 2423, -7080, 3428, 2268, 13824, 464, 2014, -10246, 3252, 2436, 13688, 15, 1119, -13256, 3696, 3196, 13528, -426, -97, -15118, 4820, 3276, 13732, -1313, 399, -17501, 4400, 3480, 14236, -1154, 1991, -19676, 2784, 3516, 14828, -1150, 2497, -20866, 3716, 2388, 14380, -662, 2706, -22845, 4052, 1128, 14332, -820, 3839, -25560
3324, 356, 14984, -587, 4575, -29133, 7580, 876, 27436, 350, -374, -16235, 10080, 4536, 15992, -297, 3550, -22274, 8024, 3724, 17436, -1181, 4624, -28459, 4912, 2600, 18064, 1436, 4261, -31345, 1776, 2280, 17940, 5447, 3548, -31141, 816, 1464, 16888, 8062, 2496, -29468, 1660, 980, 15560, 9380, 1573, -28116, 3484, -8, 14532, 9186, 1121, -28899, 3756, -432, 13604, 7000, 2190, -32258
680, -1992, 14548, 4422, 1457, -32512, 6292, -152, 32767, -3806, 7527, -7464, 5032, 1268, 17412, -3345, 5751, -10626, 6544, 620, 17604, 284, 2647, -16214, 7496, 852, 17592, 4320, 1631, -23409, 6432, 1344, 17516, 6641, 1498, -30232, 3996, 664, 17756, 8977, 1483, -32512, 1772, 552, 17208, 11735, 1331, -32512, 640, 296, 16448, 13550, 701, -31282, 1788, -128, 15196, 14159, 499, -31137
1972, -976, 14908, 13689, 332, -32512, 8052, -520, 32767, 6187, 1479, -7605, 7632, 2672, 14260, 3249, 3781, -13417, 5904, 2808, 14792, 969, 4585, -20427, 1868, 1420, 15216, 1090, 2045, -23089, -524, 1052, 15604, 4426, -1650, -22520, -872, 956, 15980, 8247, -4383, -21724, -444, 752, 16060, 11298, -6018, -21061, -376, 236, 15832, 14112, -7435, -20748, -212, -224, 15368, 16486, -8962, -21023
48, -256, 14612, 17582, -9495, -22039, 3740, -384, 32767, 6294, -593, -15035, 1612, 2048, 14680, 5515, -1908, -15852, 2756, 1440, 13760, 5489, -3360, -17803, 3536, 992, 13856, 5456, -4044, -20445, 3980, 1208, 13680, 4681, -3289, -23993, 1352, 196, 14556, 3852, -3786, -26299, -712, -608, 15632, 5401, -5523, -26202, -908, -976, 16112, 8075, -7139, -25408, -204, -1072, 16148, 10220, -8255, -25615
164, -1700, 16264, 11614, -9263, -26166, 4516, -2532, 25916, 3579, 2707, -14267, 2488, 316, 16312, 4604, -325, -17119, 2064, -212, 16416, 7678, -3269, -20542, 2008, -288, 16752, 10918, -4946, -23035, 1852, -108, 16040, 12681, -4588, -25211, 664, -428, 15684, 13400, -3748, -26187, -44, -416, 14780, 13212, -2133, -26157, 120, -504, 13996, 11970, -375, -26279, -1052, -1072, 14136, 10382, 421, -26270
-2616, -1240, 14908, 9193, -434, -24845, 5240, -4668, 32767, 4179, -530, -25027, 748, -516, 15780, 5483, -1851, -27231, 2872, -1288, 15228, 7420, -1939, -30213, 2004, -1496, 16036, 8730, -1122, -32512, 2036, -2204, 15620, 10344, -1635, -32512, -428, -2660, 16184, 11957, -2580, -32512, -2708, -2672, 16572, 13388, -4694, -32512, -2912, -3704, 15104, 14473, -5441, -31309, -2860, -4180, 14952, 17379, -3863, -28436
-4236, -4424, 14528, 16267, -4925, -24600, 6592, -3892, 32767, 3350, 2453, -17100, 2840, -56, 17360, 5141, -161, -19416, 3660, -436, 17084, 8191, -1826, -22383, 3740, -540, 17064, 11048, -1731, -24788, 3508, -916, 17028, 13150, -1448, -27025, 1792, -1224, 16500, 14955, -1489, -28348, -232, -932, 16560, 16734, -1867, -27668, -316, -1328, 15116, 17662, -1521, -26095, 452, -580, 13420, 15297, -278, -26180
